jeer, [dʒɪr] vt.vi.n.嘲弄
horizontal, [͵hɑrə`zɑnt!] adj.地平線的；水平的
jingle, [`dʒɪŋg!] n.叮噹聲 vi.發出叮噹聲
hostage, [`hɑstɪdʒ] n.人質；抵押品
jolly, [`dʒɑlɪ] adj.快活的
hostile, [`hɑstɪl] adj.敵人的；有敵意的
journalism, [`dʒɝn!͵ɪzm] n.新聞工作
hound, [haʊnd] n.獵犬
journalist, [`dʒɝnəlɪst] n.新聞\撰稿記者
housing, [`haʊzɪŋ] n.住宅
jug, [dʒʌg] n.水罐
hover, [`hʌvɚ] n.vi.空中盤旋
jury, [`dʒʊrɪ] n.陪審團
howl, [haʊl] n.vi.vt.號叫
justify, [`dʒʌstə͵faɪ] vt.vi.認為正當；為...辯護
hurl, [hɝl] vt.vi.n.用力投擲
hymn, [`hɪm] n.聖歌讚美詩
juvenile, [`dʒuvən!] n.少年 adj.少年的
idiot, [`ɪdɪət] n.白癡
kin, [kɪn] n.親屬
immense, [ɪ`mɛns] adj.廣大；無限的
kindle, [`kɪnd!] vt.vi.點燃；激起；照亮
imperial, [ɪm`pɪrɪəl] adj.帝國的
knowledgeable, [`nɑlɪdʒəb!] adj.博學的
impose, [ɪm`poz] vt.徵(稅)；加負擔於…
lad, [læ d] n.少年；小夥子；老友
impulse, [`ɪmpʌls] n.衝動
lame, [lem] adj.跛腳 vt.使…跛腳
incense, [`ɪnsɛns] n.香
landlady, [`lænd͵ledɪ] n.女房東
index, [`ɪndɛks] n.vt.vi.索引 n.指數
landlord, [`lænd͵lɔrd] n.地主
indifference, [ɪn`dɪfərəns] n.冷淡；不重要
laser, [`lezɚ] n.雷射
indifferent, [ɪn`dɪfərənt] adj.漠不關心的
latitude, [`læ tə͵tjud] n.緯度
indignant, [ɪn`dɪgnənt] adj.憤慨的
lawmaker, [`lɔ`mekɚ] n.立法之人
indispensable, [͵ɪndɪs`pɛnsəb!] adj.必需的
layer, [`leɚ] n.(一)層
induce, [ɪn`djus] vt.誘導；導致
league, [lig] n.聯盟
indulge, [ɪn`dʌldʒ] vt.vi.縱容
legislation, [͵lɛdʒɪs`leʃən] n.制定法律
infinite, [`ɪnfənɪt] adj.無限的；極大的
lessen, [`lɛsn] vi.vt.減少
inherit, [ɪn`hɛrɪt] vt.繼承
